
t_rule
ruleId	ruleName	conditionIds	actionIds	dayofweeks	starttime	endtime	userId	sceneid
120	If PM2.5 dust detector - the status of the living room equipment is equal to open, then the electric fan - the status of the living room equipment is the second gear	125	150	1,2,3,4,5,6,7	00:00:00	23:59:59	5	1
121	if PM2.5 dust detector - the status of the living room equipment is equal to open, then the electric curtain - the status of the living room equipment is closed	126	151	1,2,3,4,5,6,7	00:00:00	23:59:59	5	1
122	If the electric curtain-living room equipment status is equal to open, then the electric fan-living room equipment status is the second gear	127	152	1,2,3,4,5,6,7	00:00:00	23:59:59	5	1
123	if motorized curtains - the living room equipment status is equal to open, then air conditioner - the living room temperature is 30	128	153	1,2,3,4,5,6,7	00:00:00	23:59:59	5	3
125	if motorized curtains-living room device status is equal to open, then air conditioner-living room temperature is 14	131	156	1,2,3,4,5,6,7	00:00:00	23:59:59	5	1
132	if infrared human body sensor-human body detection in the living room is equal to someone, lighting-the state of the living room device is equal to on, then the air conditioner-the state of the living room device is in cooling mode	139,138	164	1,2	20:30:00	11:30:00	12	1
134	if PM2.5 dust detector - living room PM2.5 concentration is equal to moderate pollution (115-150), then electric curtain - living room equipment status is open	141	166	1,2,3,4,5,6,7	00:00:00	23:59:59	12	1
135	If the temperature sensor - the living room temperature is greater than or equal to 30, the infrared human body sensor - the living room human body detection is equal to someone, then the TV - the living room device status is turned on	144,143	167	6,7	20:00:00	11:20:00	15	1
137	If the temperature sensor - the living room temperature is greater than or equal to 30, the infrared human body sensor - the human body detection in the living room is equal to no one, then the TV - the living room device status is off	146,145	168	6,7	00:00:00	23:59:59	15	1
138	If temperature sensor - living room temperature is greater than or equal to 30, PM2.5 dust detector - living room PM2.5 concentration is equal to moderate pollution (115-150), then air purifier - living room equipment status is open	148,147	171	1,2,3,4,5,6,7	00:00:00	23:59:59	15	1
140	if temperature sensor - living room temperature is greater than or equal to 30, then air conditioner - living room equipment status is cooling mode	150	172	1,2,3,4,5,6,7	00:00:00	23:59:59	14	1
142	if the weather detector - the weather in the bedroom is equal to the rainy day, then the electric curtain - the state of the bedroom equipment is open	151	174	1,2,3,4,5,6,7	00:00:00	23:59:59	15	3
143	if PM2.5 dust detector - living room PM2.5 concentration is greater than or equal to light pollution (75-115), temperature sensor - bedroom temperature is greater than or equal to 15, then electric blanket - bedroom equipment status is medium	153,152	176	1,2,3,4,5,6,7	00:00:00	23:59:59	15	3
144	if PM2.5 dust detector - living room PM2.5 concentration is greater than or equal to light pollution (75-115), temperature sensor - bedroom temperature is greater than or equal to 15, then air purifier - living room equipment status is open	153,152	175	1,2,3,4,5,6,7	00:00:00	23:59:59	15	3
145	if infrared human body sensor-office human detection is equal to someone, then smart socket-office device status is on	154	178	1,2,3,4,5,6,7	00:00:00	23:59:59	15	2
146	if infrared human sensor-office human detection is equal to someone, then desk lamp-office device status is on	154	177	1,2,3,4,5,6,7	00:00:00	23:59:59	15	2
147	if infrared human body sensor-office human detection is equal to no one, then desk lamp-office device status is off	156	181	1,2,3,4,5,6,7	00:00:00	23:59:59	15	2
148	If the infrared human body sensor-office human body detection is equal to no one, then the heater-office device status is off	156	180	1,2,3,4,5,6,7	00:00:00	23:59:59	15	2
149	if infrared human sensor-office human detection is equal to no one, then windows-office device status is off	156	179	1,2,3,4,5,6,7	00:00:00	23:59:59	15	2
150	if humidifier-office device state equals open, heater-office device state equals open, then windows-office device state is off	158,157	182	1,2,3,4,5,6,7	00:00:00	23:59:59	15	2
153	if temperature sensor - living room temperature is less than or equal to 15, then air conditioner - living room temperature is 25	159	186	1,2,3,4,5,6,7	00:00:00	23:59:59	15	1
154	if temperature sensor - living room temperature is less than or equal to 15, then air conditioner - living room equipment status is heating mode	159	185	1,2,3,4,5,6,7	00:00:00	23:59:59	15	1
155	if smoke detector-living room smoke detection is equal to smoke, then air purifier-living room device status is on	160	187	1,2,3,4,5,6,7	00:00:00	23:59:59	15	1
159	if the router-living room device status is equal to off, then the router-living room device status is on	161	191	1,2,3,4,5,6,7	00:00:00	23:59:59	15	1
160	if infrared human body sensor-living room device status is equal to off, PM2.5 dust detector-living room device status is equal to off, temperature sensor-living room device status is equal to off, smoke detector-living room device status is equal to off, then smoke detector-living room Device status is open	165,164,163,162	195	1,2,3,4,5,6,7	00:00:00	23:59:59	15	1
161	if infrared human body sensor-living room equipment status is equal to OFF, PM2.5 dust detector-living room equipment status is equal to OFF, temperature sensor-living room equipment status is equal to OFF, smoke detector-living room equipment status is equal to OFF, then temperature sensor-living room equipment status is open	165,164,163,162	194	1,2,3,4,5,6,7	00:00:00	23:59:59	15	1
162	if infrared human body sensor - living room device status equal to off, PM2.5 dust detector - living room device status equal to off, temperature sensor - living room device status equal to off, smoke detector - living room device status equal to off, then infrared human body sensor- Living room device status is open	165,164,163,162	193	1,2,3,4,5,6,7	00:00:00	23:59:59	15	1
163	if infrared human body sensor-living room device status is equal to off, PM2.5 dust detector-living room device status is equal to off, temperature sensor-living room device status is equal to off, smoke detector-living room device status is equal to off, then PM2.5 dust detection Instrument - living room device status is open	165,164,163,162	192	1,2,3,4,5,6,7	00:00:00	23:59:59	15	1
164	if PM2.5 dust detector - living room PM2.5 concentration equal to excellent (0-35), then window - living room equipment status is open	166	196	1,2,3,4,5,6,7	19:00:00	11:00:00	17	1
165	if the window-living room equipment status is equal to open, then the air conditioner-living room equipment status is closed	167	197	1,2,3,4,5,6,7	19:00:00	12:00:00	17	1
166	if motorized curtains - the state of the living room equipment is equal to off, then lights - the state of the living room equipment is on	168	198	1,2,3,4,5,6,7	19:00:00	12:00:00	17	1
167	If the infrared human body sensor-human body detection in the living room is equal to no one, then the air conditioner-living room device status is off	169	200	1,2,3,4,5	19:00:00	11:00:00	17	1
168	If the infrared human body sensor-human body detection in the living room is equal to no one, then the TV-living room device status is off	169	199	1,2,3,4,5	19:00:00	11:00:00	17	1
171	if air conditioner-office device status is equal to on, then humidifier-office device status is on	171	204	1,2,3,4,5,6,7	00:00:00	23:59:59	17	2
172	if air conditioner-office equipment status is equal to open, then electric curtains-living room equipment status is open	171	203	1,2,3,4,5,6,7	00:00:00	23:59:59	17	2
173	if projector-living room device status is equal to open, then motorized curtains-living room device status is closed	172	205	6,7	19:37:00	00:49:00	18	1
174	if temperature sensor-office temperature is greater than 30, then air conditioner-office equipment status is cooling mode	173	206	1,2,3,4,5,6,7	00:00:00	23:59:59	17	2
175	If the light-living room equipment status is turned on, the weather detector-bedroom weather is equal to haze, then PM2.5 dust detector-living room equipment status is turned on	175,174	207	1,2,3,4,5,6,7	00:00:00	23:59:59	18	1
176	If the infrared human body sensor-human body detection in the living room is equal to someone, then the router-living room mode is normal mode	176	208	1,2,3,4,5,6,7	00:00:00	23:59:59	18	1
177	If the infrared human body sensor-human body detection in the living room is equal to someone, then the air purifier-living room device status is open	177	209	1,2,3,4,5,6,7	00:00:00	23:59:59	18	1
178	If the infrared human body sensor-human body detection in the living room is equal to someone, then the heater-living room device status is turned on	178	210	1,2,3,4,5,6,7	00:00:00	23:59:59	18	1
179	if projector-living room device status is equal to on, then air conditioner-bedroom device status is off	179	211	1,2,3,4,5,6,7	00:00:00	23:59:59	17	3
